#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6204482025e-01    4.2290739813e-01   -1.1719902048e+00    7.0994538458e-01   -1.1719902048e+00    1.2800000000e+02    5.6047402335e-05    1.0000000000e+00
         1   -4.6852898741e-01    4.6384967153e-01   -1.1753265002e+00    7.0679751284e-01   -1.1753265002e+00    1.2800000000e+02    5.8852358411e-05    1.0000000000e+00
         2   -4.5987285229e-01    4.6750581816e-01   -1.1701031483e+00    7.1023029604e-01   -1.1701031483e+00    1.2800000000e+02    5.9552890630e-05    1.0000000000e+00
         3   -4.3907960118e-01    4.1193877289e-01   -1.1560617165e+00    7.1698211536e-01   -1.1560617165e+00    1.2800000000e+02    6.0433129873e-05    1.0000000000e+00
         4   -4.4718704523e-01    4.4498168534e-01   -1.1623542194e+00    7.1516717418e-01   -1.1623542194e+00    1.2800000000e+02    5.9585390614e-05    1.0000000000e+00
         5   -4.6071977245e-01    6.0335328906e-01   -1.1771772948e+00    7.1645752239e-01   -1.1771772948e+00    1.2800000000e+02    5.9847666016e-05    1.0000000000e+00
         6   -4.3663663365e-01    4.1869027458e-01   -1.1494875090e+00    7.1285087537e-01   -1.1494875090e+00    1.2800000000e+02    5.9942480464e-05    1.0000000000e+00
         7   -4.3330737955e-01    3.9116950491e-01   -1.1422257984e+00    7.0891841885e-01   -1.1422257984e+00    1.2800000000e+02    5.9668139651e-05    1.0000000000e+00
         8   -4.2682896330e-01    3.8109449827e-01   -1.1454378064e+00    7.1860884307e-01   -1.1454378064e+00    1.2800000000e+02    5.9516865219e-05    1.0000000000e+00
         9   -4.0288160380e-01    3.2824026534e-01   -1.1362590642e+00    7.3337746040e-01   -1.1362590642e+00    1.2800000000e+02    5.9382065428e-05    1.0000000000e+00
        10   -4.0664711248e-01    3.4674625279e-01   -1.1328229089e+00    7.2617579646e-01   -1.1328229089e+00    1.2800000000e+02    5.9846000985e-05    1.0000000000e+00
        11   -4.0416690856e-01    3.4701197188e-01   -1.1311622531e+00    7.2699534456e-01   -1.1311622531e+00    1.2800000000e+02    6.0303076184e-05    1.0000000000e+00
        12   -4.0299181745e-01    3.3723287533e-01   -1.1257753065e+00    7.2278348902e-01   -1.1257753065e+00    1.2800000000e+02    5.9744731441e-05    1.0000000000e+00
        13   -3.9864425786e-01    3.4080892718e-01   -1.1194167335e+00    7.2077247560e-01   -1.1194167335e+00    1.2800000000e+02    6.0179785144e-05    1.0000000000e+00
        14   -4.0039353278e-01    3.4386983813e-01   -1.1096993939e+00    7.0930586112e-01   -1.1096993939e+00    1.2800000000e+02    5.9385639654e-05    1.0000000000e+00
        15   -4.0626020268e-01    3.4523807381e-01   -1.1072963382e+00    7.0103613550e-01   -1.1072963382e+00    1.2800000000e+02    5.9541157222e-05    1.0000000000e+00
        16   -4.1589787941e-01    3.4753259567e-01   -1.1114533822e+00    6.9555550284e-01   -1.1114533822e+00    1.2800000000e+02    6.0197934578e-05    1.0000000000e+00
        17   -4.2144475352e-01    3.6210844642e-01   -1.1080777712e+00    6.8663301765e-01   -1.1080777712e+00    1.2800000000e+02    6.0297958983e-05    1.0000000000e+00
        18   -4.2575850396e-01    3.6332057539e-01   -1.1199596803e+00    6.9420117633e-01   -1.1199596803e+00    1.2800000000e+02    5.9871333006e-05    1.0000000000e+00
        19   -4.3201168280e-01    3.6221552726e-01   -1.1219238327e+00    6.8991214987e-01   -1.1219238327e+00    1.2800000000e+02    5.9953974613e-05    1.0000000000e+00
        20   -4.3340984339e-01    3.5251014273e-01   -1.1164488156e+00    6.8303897219e-01   -1.1164488156e+00    1.2800000000e+02    5.9810307624e-05    1.0000000000e+00
        21   -4.3107112769e-01    3.4525054228e-01   -1.1034666604e+00    6.7239553273e-01   -1.1034666604e+00    1.2800000000e+02    6.0011577144e-05    1.0000000000e+00
        22   -4.2988418404e-01    3.4249894245e-01   -1.1127713860e+00    6.8288720199e-01   -1.1127713860e+00    1.2800000000e+02    5.9385126944e-05    1.0000000000e+00
        23   -4.3137774905e-01    3.3953342537e-01   -1.1145254078e+00    6.8314765879e-01   -1.1145254078e+00    1.2800000000e+02    5.9892822271e-05    1.0000000000e+00
        24   -4.4419384810e-01    3.5226832697e-01   -1.1244375349e+00    6.8024368685e-01   -1.1244375349e+00    1.2800000000e+02    6.0424467772e-05    1.0000000000e+00
        25   -4.5254642686e-01    3.6493749443e-01   -1.1267055915e+00    6.7415916466e-01   -1.1267055915e+00    1.2800000000e+02    6.0040034169e-05    1.0000000000e+00
        26   -4.4518269704e-01    3.5994483795e-01   -1.1266662470e+00    6.8148354995e-01   -1.1266662470e+00    1.2800000000e+02    6.0055356435e-05    1.0000000000e+00
        27   -4.4359794384e-01    3.6105447861e-01   -1.1304324789e+00    6.8683453504e-01   -1.1304324789e+00    1.2800000000e+02    5.9922910154e-05    1.0000000000e+00
        28   -4.3846179555e-01    3.4000024530e-01   -1.1122676517e+00    6.7380585616e-01   -1.1122676517e+00    1.2800000000e+02    6.0295600578e-05    1.0000000000e+00
        29   -4.4087439506e-01    3.4447429339e-01   -1.1033680877e+00    6.6249369266e-01   -1.1033680877e+00    1.2800000000e+02    5.9554956060e-05    1.0000000000e+00
        30   -4.4050572413e-01    3.4692373465e-01   -1.1015255022e+00    6.6101977803e-01   -1.1015255022e+00    1.2800000000e+02    6.0252905277e-05    1.0000000000e+00
        31   -4.3424208872e-01    3.3501014319e-01   -1.0959366451e+00    6.6169455635e-01   -1.0959366451e+00    1.2800000000e+02    6.0462485356e-05    1.0000000000e+00
        32   -4.3583748407e-01    3.3813137223e-01   -1.1069262398e+00    6.7108875569e-01   -1.1069262398e+00    1.2800000000e+02    5.9681835934e-05    1.0000000000e+00
        33   -4.3687741769e-01    3.3489038235e-01   -1.0991636022e+00    6.6228618450e-01   -1.0991636022e+00    1.2800000000e+02    5.9711455087e-05    1.0000000000e+00
        34   -4.3519717130e-01    3.3357723596e-01   -1.1027324072e+00    6.6753523592e-01   -1.1027324072e+00    1.2800000000e+02    5.9968950184e-05    1.0000000000e+00
        35   -4.2649643205e-01    3.2820644833e-01   -1.0955005363e+00    6.6900410427e-01   -1.0955005363e+00    1.2800000000e+02    5.9911245133e-05    1.0000000000e+00
        36   -4.2451880423e-01    3.2746050847e-01   -1.1020725991e+00    6.7755379487e-01   -1.1020725991e+00    1.2800000000e+02    6.0421811531e-05    1.0000000000e+00
        37   -4.2302456528e-01    3.2249549664e-01   -1.0915923675e+00    6.6856780226e-01   -1.0915923675e+00    1.2800000000e+02    5.9750078121e-05    1.0000000000e+00
