#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -4.2412217120e-01    3.5859816124e-01   -1.0881343554e+00    6.6401218424e-01   -1.0881343554e+00    1.2800000000e+04    5.5147857910e-03    9.9976562500e-01
         1   -4.5088135247e-01    5.2075437896e-01   -1.1795580284e+00    7.2867667591e-01   -1.1795580284e+00    1.2800000000e+04    5.5249256787e-03    9.9992187500e-01
         2   -4.9262296064e-01    7.1724768557e-01   -1.2476064259e+00    7.5498346524e-01   -1.2476064259e+00    1.2800000000e+04    5.5212770557e-03    1.0000000000e+00
         3   -4.6709565414e-01    9.3446384914e-01   -1.2552548142e+00    7.8815916002e-01   -1.2552548142e+00    1.2800000000e+04    5.4972334424e-03    1.0000000000e+00
         4   -4.0550729984e-01    5.6930033424e-01   -1.2134480232e+00    8.0794072332e-01   -1.2134480232e+00    1.2800000000e+04    5.5181154443e-03    9.9992187500e-01
         5   -5.0331328070e-01    1.1991896118e+00   -1.2991643076e+00    7.9585102694e-01   -1.2991643076e+00    1.2800000000e+04    5.5135981201e-03    1.0000000000e+00
         6   -4.7004015333e-01    7.6504571655e-01   -1.1808586924e+00    7.1081853911e-01   -1.1808586924e+00    1.2800000000e+04    5.5199256641e-03    1.0000000000e+00
         7   -4.7089604246e-01    5.7890351200e-01   -1.1614689714e+00    6.9057292894e-01   -1.1614689714e+00    1.2800000000e+04    5.5213260156e-03    1.0000000000e+00
         8   -4.5645942400e-01    7.0251921742e-01   -1.2095300698e+00    7.5307064583e-01   -1.2095300698e+00    1.2800000000e+04    5.5008611719e-03    1.0000000000e+00
         9   -3.9502001444e-01    4.0778623697e-01   -1.1230526888e+00    7.2803267437e-01   -1.1230526888e+00    1.2800000000e+04    5.5150356006e-03    1.0000000000e+00
        10   -4.2528204978e-01    5.0964821192e-01   -1.1435474645e+00    7.1826541477e-01   -1.1435474645e+00    1.2800000000e+04    5.5204422559e-03    9.9992187500e-01
