# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.7251961457e+01    2.2820882181e-01    9.6336515178e+02    9.6400000000e+02    0.0000000000e+00   -1.7265707025e+01    9.8714142221e-01    9.8651452282e-01
         1   -1.7262194435e+01    2.4426855440e-01    9.9910061827e+02    9.6400000000e+02    1.0000000000e-01   -1.3563082003e+01    9.8677536985e-01    9.9896265560e-01
         2   -1.7239474836e+01    2.0572416246e-01    9.8958286139e+02    9.9000000000e+02    3.0000000000e-01   -1.7292966094e+01    9.9010432842e-01    9.9898989899e-01
         3   -1.7225494194e+01    1.8503128239e-01    9.8962392958e+02    9.9000000000e+02    2.5000000000e-02   -1.7270246495e+01    9.8722792955e-01    1.0000000000e+00
         4   -1.7240963782e+01    2.4292699808e-01    9.9175491284e+02    9.9200000000e+02    5.0000000000e-02   -1.7258284017e+01    9.8687765682e-01    1.0000000000e+00
         5   -1.7258694062e+01    3.0959215317e-01    9.9175552661e+02    9.9200000000e+02    0.0000000000e+00   -1.7273753604e+01    9.8775483412e-01    9.9596774194e-01
         6   -1.7233265358e+01    2.0391248334e-01    9.8863924032e+02    9.8900000000e+02    7.5000000000e-02   -1.7288455110e+01    9.9053517750e-01    9.9595551062e-01
         7   -1.7219577124e+01    2.0840021900e-01    9.8569768944e+02    9.8600000000e+02    7.5000000000e-02   -1.7259988428e+01    9.8592321478e-01    9.9797160243e-01
         8   -1.7259509102e+01    2.3311586470e-01    9.8594432290e+02    9.8600000000e+02    2.5000000000e-02   -1.7246300194e+01    9.8575475144e-01    9.9695740365e-01
         9   -1.7243154011e+01    1.7956573967e-01    9.8368523033e+02    9.8400000000e+02    7.5000000000e-02   -1.7284201715e+01    9.8659342929e-01    9.9796747967e-01
        10   -1.7238243950e+01    1.4632301645e-01    9.8274888116e+02    9.8300000000e+02    5.0000000000e-02   -1.7266829846e+01    9.8656015436e-01    9.9796541200e-01
        11   -1.7251455571e+01    2.0465376135e-01    9.8076818888e+02    9.8100000000e+02    5.0000000000e-02   -1.7268874267e+01    9.8696143132e-01    9.9898063201e-01
        12   -1.7248239612e+01    1.8612803229e-01    9.7986670824e+02    9.8000000000e+02    2.5000000000e-02   -1.7263358808e+01    9.9141464527e-01    9.9795918367e-01
        13   -1.7268286570e+01    2.1150697137e-01    9.7793825008e+02    9.7800000000e+02    5.0000000000e-02   -1.7264221257e+01    9.9103790894e-01    9.9897750511e-01
        14   -1.7261471356e+01    2.1127802781e-01    9.7898757920e+02    9.7900000000e+02    5.0000000000e-02   -1.7265891914e+01    9.8633722909e-01    1.0000000000e+00
